dataset,mix_id,mix_code,scm_primary_type,cement_kg_m3,binder_content_kg_m3,scm_replacement_pct,w_c_ratio,w_b_ratio,water_kg_m3,compressive_strength_28d_mpa,total_coarse_agg_kg_m3,total_fine_agg_kg_m3,total_agg_kg_m3,fine_to_coarse_ratio,binder_to_aggregate_ratio
DS1,609.0,DS1-604,GGBS,339.00,339.00,0.0,0.58,0.58,197.00,,968.00,781.00,1749.00,0.8068181818181818,0.19382504288164665
DS1,610.0,DS1-605,GGBS,339.00,339.00,0.0,0.58,0.58,197.00,,968.00,781.00,1749.00,0.8068181818181818,0.19382504288164665
DS1,611.0,DS1-606,GGBS,236.00,236.00,0.0,0.82,0.82,194.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,612.0,DS1-607,GGBS,236.00,236.00,0.0,0.82,0.82,194.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,613.0,DS1-608,GGBS,236.00,236.00,0.0,0.82,0.82,194.00,18.42,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,614.0,DS1-609,GGBS,236.00,236.00,0.0,0.82,0.82,194.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS3,4668.0,DS3-338,Fly Ash,200,455,56.043956043956044,,,150,,1140,830,1970,0.7280701754385965,0.23096446700507614
DS1,615.0,DS1-610,GGBS,236.00,236.00,0.0,0.82,0.82,193.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,616.0,DS1-611,GGBS,236.00,236.00,0.0,0.82,0.82,193.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,617.0,DS1-612,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,618.0,DS1-613,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,25.97,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,619.0,DS1-614,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,620.0,DS1-615,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,621.0,DS1-616,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,622.0,DS1-617,GGBS,277.00,277.00,0.0,0.69,0.69,191.00,,968.00,856.00,1824.00,0.8842975206611571,0.15186403508771928
DS1,623.0,DS1-618,GGBS,254.00,254.00,0.0,0.78,0.78,198.00,,968.00,863.00,1831.00,0.8915289256198347,0.1387220098306936
DS1,624.0,DS1-619,GGBS,254.00,254.00,0.0,0.78,0.78,198.00,,968.00,863.00,1831.00,0.8915289256198347,0.1387220098306936
DS1,625.0,DS1-620,GGBS,254.00,254.00,0.0,0.78,0.78,198.00,,968.00,863.00,1831.00,0.8915289256198347,0.1387220098306936
DS1,626.0,DS1-621,GGBS,254.00,254.00,0.0,0.78,0.78,198.00,,968.00,863.00,1831.00,0.8915289256198347,0.1387220098306936
DS1,627.0,DS1-622,GGBS,307.00,307.00,0.0,0.63,0.63,193.00,,968.00,812.00,1780.00,0.8388429752066116,0.17247191011235954
DS1,628.0,DS1-623,GGBS,307.00,307.00,0.0,0.63,0.63,193.00,,968.00,812.00,1780.00,0.8388429752066116,0.17247191011235954
DS1,629.0,DS1-624,GGBS,307.00,307.00,0.0,0.63,0.63,193.00,,968.00,812.00,1780.00,0.8388429752066116,0.17247191011235954
DS1,630.0,DS1-625,GGBS,307.00,307.00,0.0,0.63,0.63,193.00,27.53,968.00,812.00,1780.00,0.8388429752066116,0.17247191011235954
DS1,631.0,DS1-626,GGBS,307.00,307.00,0.0,0.63,0.63,193.00,,968.00,812.00,1780.00,0.8388429752066116,0.17247191011235954
DS1,632.0,DS1-627,GGBS,236.00,236.00,0.0,0.82,0.82,193.00,,968.00,885.00,1853.00,0.9142561983471075,0.1273610361575823
DS1,633.0,DS1-628,GGBS,200.00,200.00,0.0,0.90,0.90,180.00,,1125.00,845.00,1970.00,0.7511111111111111,0.10152284263959391
DS1,634.0,DS1-629,GGBS,200.00,200.00,0.0,0.90,0.90,180.00,12.25,1125.00,845.00,1970.00,0.7511111111111111,0.10152284263959391
DS1,635.0,DS1-630,GGBS,225.00,225.00,0.0,0.80,0.80,181.00,,1113.00,833.00,1946.00,0.7484276729559748,0.1156217882836588
DS1,636.0,DS1-631,GGBS,225.00,225.00,0.0,0.80,0.80,181.00,17.34,1113.00,833.00,1946.00,0.7484276729559748,0.1156217882836588
DS1,637.0,DS1-632,GGBS,325.00,325.00,0.0,0.57,0.57,184.00,,1063.00,783.00,1846.00,0.7365945437441204,0.176056338028169
DS1,638.0,DS1-633,GGBS,325.00,325.00,0.0,0.57,0.57,184.00,30.57,1063.00,783.00,1846.00,0.7365945437441204,0.176056338028169
DS1,639.0,DS1-634,GGBS,275.00,275.00,0.0,0.67,0.67,183.00,,1088.00,808.00,1896.00,0.7426470588235294,0.145042194092827
DS1,640.0,DS1-635,GGBS,275.00,275.00,0.0,0.67,0.67,183.00,24.50,1088.00,808.00,1896.00,0.7426470588235294,0.145042194092827
DS1,641.0,DS1-636,GGBS,300.00,300.00,0.0,0.61,0.61,184.00,,1075.00,795.00,1870.00,0.7395348837209302,0.16042780748663102
DS1,642.0,DS1-637,GGBS,300.00,300.00,0.0,0.61,0.61,184.00,26.85,1075.00,795.00,1870.00,0.7395348837209302,0.16042780748663102
DS1,643.0,DS1-638,GGBS,375.00,375.00,0.0,0.50,0.50,186.00,,1038.00,758.00,1796.00,0.7302504816955684,0.20879732739420936
DS1,644.0,DS1-639,GGBS,375.00,375.00,0.0,0.50,0.50,186.00,38.21,1038.00,758.00,1796.00,0.7302504816955684,0.20879732739420936
DS1,645.0,DS1-640,GGBS,400.00,400.00,0.0,0.47,0.47,187.00,43.70,1025.00,745.00,1770.00,0.7268292682926829,0.22598870056497175
DS1,646.0,DS1-641,GGBS,400.00,400.00,0.0,0.47,0.47,187.00,,1025.00,745.00,1770.00,0.7268292682926829,0.22598870056497175
DS1,647.0,DS1-642,GGBS,250.00,250.00,0.0,0.73,0.73,182.00,,1100.00,820.00,1920.00,0.7454545454545455,0.13020833333333334
DS1,648.0,DS1-643,GGBS,250.00,250.00,0.0,0.73,0.73,182.00,20.87,1100.00,820.00,1920.00,0.7454545454545455,0.13020833333333334
DS1,649.0,DS1-644,GGBS,350.00,350.00,0.0,0.53,0.53,186.00,,1050.00,770.00,1820.00,0.7333333333333333,0.19230769230769232
DS1,650.0,DS1-645,GGBS,350.00,350.00,0.0,0.53,0.53,186.00,34.29,1050.00,770.00,1820.00,0.7333333333333333,0.19230769230769232
DS1,651.0,DS1-646,GGBS,203.50,508.80,60.00393081761006,1.00,0.40,203.50,,963.40,630.00,1593.40,0.653933983807349,0.3193171833814485
DS1,652.0,DS1-647,GGBS,250.20,417.00,40.0,0.81,0.49,203.50,,977.60,694.10,1671.70,0.7100040916530278,0.24944667105341867
DS1,653.0,DS1-648,GGBS,157.00,393.00,60.05089058524173,1.22,0.49,192.00,,935.40,781.20,1716.60,0.8351507376523413,0.22894092974484445
DS1,654.0,DS1-649,GGBS,141.30,353.30,60.005660911406736,1.44,0.58,203.50,29.89,971.80,748.50,1720.30,0.7702202099197366,0.20537115619368715
DS1,655.0,DS1-650,GGBS,166.80,417.00,60.0,1.22,0.49,203.50,,975.60,692.60,1668.20,0.7099220992209923,0.24997002757463133
DS1,656.0,DS1-651,GGBS,122.60,306.50,60.0,1.66,0.66,203.50,,958.20,800.10,1758.30,0.8350031308703819,0.17431610077916168
DS1,657.0,DS1-652,GGBS,183.90,306.50,40.0,1.11,0.66,203.50,,959.20,800.00,1759.20,0.8340283569641368,0.17422692132787632
DS1,658.0,DS1-653,GGBS,102.00,255.00,60.0,1.88,0.75,192.00,,887.00,942.00,1829.00,1.0620067643742954,0.1394204483324221
DS1,659.0,DS1-654,GGBS,102.00,255.00,60.0,1.88,0.75,192.00,,887.00,942.00,1829.00,1.0620067643742954,0.1394204483324221
DS1,660.0,DS1-655,GGBS,122.60,306.50,60.0,1.66,0.66,203.50,24.29,958.20,800.10,1758.30,0.8350031308703819,0.17431610077916168
DS1,661.0,DS1-656,GGBS,166.80,417.00,60.0,1.22,0.49,203.50,33.95,975.60,692.60,1668.20,0.7099220992209923,0.24997002757463133
DS1,662.0,DS1-657,GGBS,200.00,333.00,39.93993993993994,0.96,0.58,192.00,,965.40,806.20,1771.60,0.8350942614460327,0.1879656807405735
DS1,663.0,DS1-658,GGBS,108.30,270.70,59.99261174732176,1.88,0.75,203.50,20.59,938.20,849.00,1787.20,0.9049243231720315,0.15146598030438674
DS1,664.0,DS1-659,GGBS,305.30,508.80,39.99606918238994,0.67,0.40,203.50,,965.40,631.00,1596.40,0.6536150818313652,0.3187171135053871
DS1,665.0,DS1-660,GGBS,108.30,270.70,59.99261174732176,1.88,0.75,203.50,,938.20,849.00,1787.20,0.9049243231720315,0.15146598030438674
DS1,666.0,DS1-661,GGBS,116.00,289.00,59.86159169550173,1.66,0.66,192.00,,909.80,891.90,1801.70,0.9803253462299406,0.16040406282954986
DS1,667.0,DS1-662,GGBS,141.30,353.30,60.005660911406736,1.44,0.58,203.50,,971.80,748.50,1720.30,0.7702202099197366,0.20537115619368715
DS1,668.0,DS1-663,GGBS,157.00,393.00,60.05089058524173,1.22,0.49,192.00,33.66,935.40,781.20,1716.60,0.8351507376523413,0.22894092974484445
DS1,669.0,DS1-664,GGBS,133.00,333.00,60.06006006006006,1.44,0.58,192.00,27.87,927.40,839.20,1766.60,0.9048954065128316,0.18849767915770407
DS1,670.0,DS1-665,GGBS,250.20,417.00,40.0,0.81,0.49,203.50,,977.60,694.10,1671.70,0.7100040916530278,0.24944667105341867
DS1,671.0,DS1-666,GGBS,173.00,289.00,40.13840830449827,1.11,0.66,192.00,,946.80,856.80,1803.60,0.9049429657794676,0.16023508538478598
DS1,672.0,DS1-667,GGBS,192.00,480.00,60.0,1.00,0.40,192.00,,929.80,716.10,1645.90,0.7701656270165627,0.2916337566073273
DS1,673.0,DS1-668,GGBS,192.00,480.00,60.0,1.00,0.40,192.00,39.32,929.80,716.10,1645.90,0.7701656270165627,0.2916337566073273
DS1,674.0,DS1-669,GGBS,153.00,255.00,40.0,1.25,0.75,192.00,,888.00,943.10,1831.10,1.0620495495495494,0.13926055376549615
DS1,675.0,DS1-670,GGBS,288.00,480.00,40.0,0.67,0.40,192.00,,932.00,717.80,1649.80,0.7701716738197425,0.29094435689174447
DS1,676.0,DS1-671,GGBS,305.30,508.80,39.99606918238994,0.67,0.40,203.50,43.38,965.40,631.00,1596.40,0.6536150818313652,0.3187171135053871
DS1,677.0,DS1-672,GGBS,236.00,393.00,39.94910941475827,0.81,0.49,192.00,,972.60,749.10,1721.70,0.770203578038248,0.2282627635476564
DS1,678.0,DS1-673,GGBS,173.00,289.00,40.13840830449827,1.11,0.66,192.00,,946.80,856.80,1803.60,0.9049429657794676,0.16023508538478598
DS1,679.0,DS1-674,GGBS,212.00,353.30,39.994339088593264,0.96,0.58,203.50,,973.40,750.00,1723.40,0.7704951715635915,0.20500174074503888
DS1,680.0,DS1-675,GGBS,236.00,393.00,39.94910941475827,0.81,0.49,192.00,,972.60,749.10,1721.70,0.770203578038248,0.2282627635476564
DS1,681.0,DS1-676,GGBS,183.90,306.50,40.0,1.11,0.66,203.50,,959.20,800.00,1759.20,0.8340283569641368,0.17422692132787632
DS1,682.0,DS1-677,GGBS,166.80,417.00,60.0,1.22,0.49,203.50,,975.60,692.60,1668.20,0.7099220992209923,0.24997002757463133
DS1,683.0,DS1-678,GGBS,102.00,255.00,60.0,1.88,0.75,192.00,,887.00,942.00,1829.00,1.0620067643742954,0.1394204483324221
DS1,684.0,DS1-679,GGBS,288.00,480.00,40.0,0.67,0.40,192.00,38.80,932.00,717.80,1649.80,0.7701716738197425,0.29094435689174447
DS1,685.0,DS1-680,GGBS,212.00,353.30,39.994339088593264,0.96,0.58,203.50,33.00,973.40,750.00,1723.40,0.7704951715635915,0.20500174074503888
DS1,686.0,DS1-681,GGBS,102.00,255.00,60.0,1.88,0.75,192.00,17.28,887.00,942.00,1829.00,1.0620067643742954,0.1394204483324221
DS1,687.0,DS1-682,GGBS,173.00,289.00,40.13840830449827,1.11,0.66,192.00,24.28,946.80,856.80,1803.60,0.9049429657794676,0.16023508538478598
DS1,688.0,DS1-683,GGBS,183.90,306.50,40.0,1.11,0.66,203.50,24.05,959.20,800.00,1759.20,0.8340283569641368,0.17422692132787632
DS1,689.0,DS1-684,GGBS,133.00,333.00,60.06006006006006,1.44,0.58,192.00,,927.40,839.20,1766.60,0.9048954065128316,0.18849767915770407
DS1,690.0,DS1-685,GGBS,192.00,480.00,60.0,1.00,0.40,192.00,,929.80,716.10,1645.90,0.7701656270165627,0.2916337566073273
DS1,691.0,DS1-686,GGBS,133.00,333.00,60.06006006006006,1.44,0.58,192.00,,927.40,839.20,1766.60,0.9048954065128316,0.18849767915770407
DS1,692.0,DS1-687,GGBS,305.30,508.80,39.99606918238994,0.67,0.40,203.50,,965.40,631.00,1596.40,0.6536150818313652,0.3187171135053871
DS1,693.0,DS1-688,GGBS,236.00,393.00,39.94910941475827,0.81,0.49,192.00,,972.60,749.10,1721.70,0.770203578038248,0.2282627635476564
DS1,694.0,DS1-689,GGBS,108.30,270.70,59.99261174732176,1.88,0.75,203.50,,938.20,849.00,1787.20,0.9049243231720315,0.15146598030438674
DS1,695.0,DS1-690,GGBS,157.00,393.00,60.05089058524173,1.22,0.49,192.00,,935.40,781.20,1716.60,0.8351507376523413,0.22894092974484445
DS1,696.0,DS1-691,GGBS,288.00,480.00,40.0,0.67,0.40,192.00,,932.00,717.80,1649.80,0.7701716738197425,0.29094435689174447
DS1,697.0,DS1-692,GGBS,212.00,353.30,39.994339088593264,0.96,0.58,203.50,,973.40,750.00,1723.40,0.7704951715635915,0.20500174074503888
DS1,698.0,DS1-693,GGBS,212.00,353.30,39.994339088593264,0.96,0.58,203.50,,973.40,750.00,1723.40,0.7704951715635915,0.20500174074503888
DS1,699.0,DS1-694,GGBS,153.00,255.00,40.0,1.25,0.75,192.00,17.96,888.00,943.10,1831.10,1.0620495495495494,0.13926055376549615
DS1,700.0,DS1-695,GGBS,236.00,393.00,39.94910941475827,0.81,0.49,192.00,32.88,972.60,749.10,1721.70,0.770203578038248,0.2282627635476564
DS1,701.0,DS1-696,GGBS,116.00,289.00,59.86159169550173,1.66,0.66,192.00,22.35,909.80,891.90,1801.70,0.9803253462299406,0.16040406282954986
DS1,702.0,DS1-697,GGBS,183.90,306.50,40.0,1.11,0.66,203.50,,959.20,800.00,1759.20,0.8340283569641368,0.17422692132787632
DS1,703.0,DS1-698,GGBS,108.30,270.70,59.99261174732176,1.88,0.75,203.50,,938.20,849.00,1787.20,0.9049243231720315,0.15146598030438674
DS1,704.0,DS1-699,GGBS,203.50,508.80,60.00393081761006,1.00,0.40,203.50,41.68,963.40,630.00,1593.40,0.653933983807349,0.3193171833814485
DS1,705.0,DS1-700,GGBS,203.50,508.80,60.00393081761006,1.00,0.40,203.50,,963.40,630.00,1593.40,0.653933983807349,0.3193171833814485
DS1,706.0,DS1-701,GGBS,133.00,333.00,60.06006006006006,1.44,0.58,192.00,,927.40,839.20,1766.60,0.9048954065128316,0.18849767915770407
DS1,707.0,DS1-702,GGBS,288.00,480.00,40.0,0.67,0.40,192.00,,932.00,717.80,1649.80,0.7701716738197425,0.29094435689174447
DS1,708.0,DS1-703,GGBS,200.00,333.00,39.93993993993994,0.96,0.58,192.00,,965.40,806.20,1771.60,0.8350942614460327,0.1879656807405735
DS1,709.0,DS1-704,GGBS,200.00,333.00,39.93993993993994,0.96,0.58,192.00,30.44,965.40,806.20,1771.60,0.8350942614460327,0.1879656807405735
DS1,710.0,DS1-705,GGBS,250.20,417.00,40.0,0.81,0.49,203.50,,977.60,694.10,1671.70,0.7100040916530278,0.24944667105341867
DS1,711.0,DS1-706,GGBS,122.60,306.50,60.0,1.66,0.66,203.50,,958.20,800.10,1758.30,0.8350031308703819,0.17431610077916168
DS1,712.0,DS1-707,GGBS,153.00,255.00,40.0,1.25,0.75,192.00,,888.00,943.10,1831.10,1.0620495495495494,0.13926055376549615
DS1,713.0,DS1-708,GGBS,200.00,333.00,39.93993993993994,0.96,0.58,192.00,,965.40,806.20,1771.60,0.8350942614460327,0.1879656807405735
DS1,714.0,DS1-709,GGBS,116.00,289.00,59.86159169550173,1.66,0.66,192.00,,909.80,891.90,1801.70,0.9803253462299406,0.16040406282954986
DS1,715.0,DS1-710,GGBS,173.00,289.00,40.13840830449827,1.11,0.66,192.00,,946.80,856.80,1803.60,0.9049429657794676,0.16023508538478598
DS1,716.0,DS1-711,GGBS,250.20,417.00,40.0,0.81,0.49,203.50,36.96,977.60,694.10,1671.70,0.7100040916530278,0.24944667105341867
DS1,717.0,DS1-712,GGBS,305.30,508.80,39.99606918238994,0.67,0.40,203.50,,965.40,631.00,1596.40,0.6536150818313652,0.3187171135053871
DS1,718.0,DS1-713,GGBS,192.00,480.00,60.0,1.00,0.40,192.00,,929.80,716.10,1645.90,0.7701656270165627,0.2916337566073273
DS1,719.0,DS1-714,GGBS,157.00,393.00,60.05089058524173,1.22,0.49,192.00,,935.40,781.20,1716.60,0.8351507376523413,0.22894092974484445
DS1,720.0,DS1-715,GGBS,153.00,255.00,40.0,1.25,0.75,192.00,,888.00,943.10,1831.10,1.0620495495495494,0.13926055376549615
DS1,721.0,DS1-716,GGBS,141.30,353.30,60.005660911406736,1.44,0.58,203.50,,971.80,748.50,1720.30,0.7702202099197366,0.20537115619368715
DS1,722.0,DS1-717,GGBS,116.00,289.00,59.86159169550173,1.66,0.66,192.00,,909.80,891.90,1801.70,0.9803253462299406,0.16040406282954986
DS1,723.0,DS1-718,GGBS,141.30,353.30,60.005660911406736,1.44,0.58,203.50,,971.80,748.50,1720.30,0.7702202099197366,0.20537115619368715
DS1,724.0,DS1-719,GGBS,122.60,306.50,60.0,1.66,0.66,203.50,,958.20,800.10,1758.30,0.8350031308703819,0.17431610077916168
DS1,725.0,DS1-720,GGBS,166.80,417.00,60.0,1.22,0.49,203.50,,975.60,692.60,1668.20,0.7099220992209923,0.24997002757463133
DS1,726.0,DS1-721,GGBS,203.50,508.80,60.00393081761006,1.00,0.40,203.50,,963.40,630.00,1593.40,0.653933983807349,0.3193171833814485
DS1,727.0,DS1-722,GGBS,310.00,310.00,0.0,0.62,0.62,192.00,,1012.00,830.00,1842.00,0.8201581027667985,0.16829533116178066
DS2,8108.0,DS2-732,None,249,249,0.0,0.8,,199.2,13.4,0,0,0,,
DS1,728.0,DS1-723,GGBS,310.00,310.00,0.0,0.62,0.62,192.00,,1012.00,830.00,1842.00,0.8201581027667985,0.16829533116178066
DS1,729.0,DS1-724,GGBS,310.00,310.00,0.0,0.62,0.62,192.00,27.83,1012.00,830.00,1842.00,0.8201581027667985,0.16829533116178066
DS1,730.0,DS1-725,GGBS,310.00,310.00,0.0,0.62,0.62,192.00,,1012.00,830.00,1842.00,0.8201581027667985,0.16829533116178066
DS1,731.0,DS1-726,GGBS,310.00,310.00,0.0,0.62,0.62,192.00,,1012.00,830.00,1842.00,0.8201581027667985,0.16829533116178066
DS1,732.0,DS1-727,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,1025.00,821.00,1846.00,0.8009756097560976,0.17930660888407368
DS1,733.0,DS1-728,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,1025.00,821.00,1846.00,0.8009756097560976,0.17930660888407368
DS1,734.0,DS1-729,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,31.74,1025.00,821.00,1846.00,0.8009756097560976,0.17930660888407368
DS1,735.0,DS1-730,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,1025.00,821.00,1846.00,0.8009756097560976,0.17930660888407368
DS1,736.0,DS1-731,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,1025.00,821.00,1846.00,0.8009756097560976,0.17930660888407368
DS1,737.0,DS1-732,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1056.00,809.00,1865.00,0.7660984848484849,0.1871313672922252
DS1,738.0,DS1-733,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1056.00,809.00,1865.00,0.7660984848484849,0.1871313672922252
DS1,739.0,DS1-734,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,33.61,1056.00,809.00,1865.00,0.7660984848484849,0.1871313672922252
DS1,740.0,DS1-735,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1056.00,809.00,1865.00,0.7660984848484849,0.1871313672922252
DS1,741.0,DS1-736,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1056.00,809.00,1865.00,0.7660984848484849,0.1871313672922252
DS1,742.0,DS1-737,GGBS,238.00,238.00,0.0,0.78,0.78,186.00,,1119.00,789.00,1908.00,0.7050938337801609,0.12473794549266247
DS1,743.0,DS1-738,GGBS,238.00,238.00,0.0,0.78,0.78,186.00,17.54,1119.00,789.00,1908.00,0.7050938337801609,0.12473794549266247
DS1,744.0,DS1-739,GGBS,296.00,296.00,0.0,0.63,0.63,186.00,,1090.00,769.00,1859.00,0.7055045871559633,0.15922538999462077
DS1,745.0,DS1-740,GGBS,296.00,296.00,0.0,0.63,0.63,186.00,25.18,1090.00,769.00,1859.00,0.7055045871559633,0.15922538999462077
DS1,746.0,DS1-741,GGBS,297.00,297.00,0.0,0.63,0.63,186.00,,1040.00,734.00,1774.00,0.7057692307692308,0.16741826381059752
DS1,747.0,DS1-742,GGBS,480.00,480.00,0.0,0.40,0.40,192.00,43.89,936.00,721.00,1657.00,0.7702991452991453,0.28968014484007243
DS1,748.0,DS1-743,GGBS,480.00,480.00,0.0,0.40,0.40,192.00,,936.00,721.00,1657.00,0.7702991452991453,0.28968014484007243
DS1,749.0,DS1-744,GGBS,397.00,397.00,0.0,0.47,0.47,186.00,36.94,1040.00,734.00,1774.00,0.7057692307692308,0.2237880496054115
DS1,750.0,DS1-745,GGBS,281.00,281.00,0.0,0.66,0.66,186.00,,1104.00,774.00,1878.00,0.7010869565217391,0.1496272630457934
DS1,751.0,DS1-746,GGBS,281.00,281.00,0.0,0.66,0.66,185.00,22.44,1104.00,774.00,1878.00,0.7010869565217391,0.1496272630457934
DS1,752.0,DS1-747,GGBS,500.00,500.00,0.0,0.40,0.40,200.00,,1125.00,613.00,1738.00,0.5448888888888889,0.28768699654775604
DS1,753.0,DS1-748,GGBS,500.00,500.00,0.0,0.40,0.40,200.00,,1125.00,613.00,1738.00,0.5448888888888889,0.28768699654775604
DS1,754.0,DS1-749,GGBS,500.00,500.00,0.0,0.40,0.40,200.00,,1125.00,613.00,1738.00,0.5448888888888889,0.28768699654775604
DS1,755.0,DS1-750,GGBS,500.00,500.00,0.0,0.40,0.40,200.00,,1125.00,613.00,1738.00,0.5448888888888889,0.28768699654775604
DS1,756.0,DS1-751,GGBS,500.00,500.00,0.0,0.40,0.40,200.00,44.09,1125.00,613.00,1738.00,0.5448888888888889,0.28768699654775604
DS1,757.0,DS1-752,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,758.0,DS1-753,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,759.0,DS1-754,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,67.31,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,760.0,DS1-755,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,761.0,DS1-756,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,762.0,DS1-757,GGBS,540.00,540.00,0.0,0.32,0.32,173.00,,1125.00,613.00,1738.00,0.5448888888888889,0.31070195627157654
DS1,763.0,DS1-758,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,764.0,DS1-759,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,765.0,DS1-760,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,27.34,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,766.0,DS1-761,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,767.0,DS1-762,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,768.0,DS1-763,GGBS,350.00,350.00,0.0,0.58,0.58,203.00,,974.00,775.00,1749.00,0.795687885010267,0.20011435105774728
DS1,769.0,DS1-764,GGBS,385.00,385.00,0.0,0.48,0.48,186.00,,966.00,763.00,1729.00,0.7898550724637681,0.22267206477732793
DS1,770.0,DS1-765,GGBS,385.00,385.00,0.0,0.48,0.48,186.00,,966.00,763.00,1729.00,0.7898550724637681,0.22267206477732793
DS1,771.0,DS1-766,GGBS,385.00,385.00,0.0,0.48,0.48,186.00,,966.00,763.00,1729.00,0.7898550724637681,0.22267206477732793
DS1,772.0,DS1-767,GGBS,385.00,385.00,0.0,0.48,0.48,186.00,,966.00,763.00,1729.00,0.7898550724637681,0.22267206477732793
DS1,773.0,DS1-768,GGBS,385.00,385.00,0.0,0.48,0.48,186.00,31.35,966.00,763.00,1729.00,0.7898550724637681,0.22267206477732793
DS1,774.0,DS1-769,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,978.00,825.00,1803.00,0.843558282208589,0.18358291735995563
DS1,775.0,DS1-770,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,978.00,825.00,1803.00,0.843558282208589,0.18358291735995563
DS1,776.0,DS1-771,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1047.00,806.00,1853.00,0.76981852913085,0.18834322719913654
DS1,777.0,DS1-772,GGBS,331.00,331.00,0.0,0.58,0.58,192.00,,978.00,825.00,1803.00,0.843558282208589,0.18358291735995563
DS1,778.0,DS1-773,GGBS,382.00,382.00,0.0,0.49,0.49,186.00,,1047.00,739.00,1786.00,0.7058261700095511,0.21388577827547592
DS1,779.0,DS1-774,GGBS,382.00,382.00,0.0,0.49,0.49,186.00,37.42,1047.00,739.00,1786.00,0.7058261700095511,0.21388577827547592
DS1,780.0,DS1-775,GGBS,382.00,382.00,0.0,0.49,0.49,186.00,,1111.00,784.00,1895.00,0.7056705670567057,0.20158311345646437
DS1,781.0,DS1-776,GGBS,281.00,281.00,0.0,0.66,0.66,186.00,22.44,1104.00,774.00,1878.00,0.7010869565217391,0.1496272630457934
DS1,782.0,DS1-777,GGBS,339.00,339.00,0.0,0.55,0.55,185.00,,1069.00,754.00,1823.00,0.7053320860617399,0.185957213384531
DS1,783.0,DS1-778,GGBS,339.00,339.00,0.0,0.55,0.55,185.00,31.84,1069.00,754.00,1823.00,0.7053320860617399,0.185957213384531
DS1,784.0,DS1-779,GGBS,295.00,295.00,0.0,0.63,0.63,185.00,,1069.00,769.00,1838.00,0.7193638914873713,0.16050054406964093
DS1,785.0,DS1-780,GGBS,295.00,295.00,0.0,0.63,0.63,185.00,25.18,1069.00,769.00,1838.00,0.7193638914873713,0.16050054406964093
DS1,786.0,DS1-781,GGBS,238.00,238.00,0.0,0.78,0.78,185.00,17.54,1118.00,789.00,1907.00,0.7057245080500895,0.12480335605663345
