mix_number,mix_mark,cement (kg/m3),eff_water (kg/m3)  ,NCA (kg/m3),RCA (kg/m3),"NFA,sand (kg/m3)",fly ash (kg/m3),silica fume (kg/m3),BFS (kg/m3) ,SP (kg/m3),Testing Age (day),CS fck (mpa),ref.,year,country
294,,250,150,0,1005,830,80,0,0,0,3,13.12,Faella et al.,2016,Italy
295,,250,150,1140,0,830,220,0,0,0,3,18.28,Faella et al.,2016,Italy
296,,250,150,573,500,830,220,0,0,0,3,22.05,Faella et al.,2016,Italy
297,,250,150,0,1005,830,220,0,0,0,3,11.6,Faella et al.,2016,Italy
298,,200,150,1140,0,830,255,0,0,0,3,5.99,Faella et al.,2016,Italy
299,,200,150,573,500,830,255,0,0,0,3,7.87,Faella et al.,2016,Italy
300,,200,150,0,1005,830,255,0,0,0,3,7.01,Faella et al.,2016,Italy
301,,280,150,1140,0,830,0,0,0,0,7,27.31,Faella et al.,2016,Italy
302,,250,150,1140,0,830,80,0,0,0,7,27.18,Faella et al.,2016,Italy
303,,250,150,573,500,830,80,0,0,0,7,26.26,Faella et al.,2016,Italy
304,,250,150,0,1005,830,80,0,0,0,7,20.52,Faella et al.,2016,Italy
305,,250,150,1140,0,830,220,0,0,0,7,24.37,Faella et al.,2016,Italy
306,,250,150,573,500,830,220,0,0,0,7,26.19,Faella et al.,2016,Italy
307,,250,150,0,1005,830,220,0,0,0,7,20.95,Faella et al.,2016,Italy
308,,200,150,1140,0,830,255,0,0,0,7,18.72,Faella et al.,2016,Italy
309,,200,150,573,500,830,255,0,0,0,7,15.94,Faella et al.,2016,Italy
310,,200,150,0,1005,830,255,0,0,0,7,12.53,Faella et al.,2016,Italy
311,,280,150,1140,0,830,0,0,0,0,28,31.33,Faella et al.,2016,Italy
312,,250,150,1140,0,830,80,0,0,0,28,33.99,Faella et al.,2016,Italy
313,,250,150,573,500,830,80,0,0,0,28,30.18,Faella et al.,2016,Italy
314,,250,150,0,1005,830,80,0,0,0,28,24.42,Faella et al.,2016,Italy
315,,250,150,1140,0,830,220,0,0,0,28,35.89,Faella et al.,2016,Italy
316,,250,150,573,500,830,220,0,0,0,28,34.46,Faella et al.,2016,Italy
317,,250,150,0,1005,830,220,0,0,0,28,23.82,Faella et al.,2016,Italy
318,,200,150,1140,0,830,255,0,0,0,28,31.85,Faella et al.,2016,Italy
319,,200,150,573,500,830,255,0,0,0,28,27.97,Faella et al.,2016,Italy
320,,200,150,0,1005,830,255,0,0,0,28,25.75,Faella et al.,2016,Italy
321,,280,150,1140,0,830,0,0,0,0,56,35.55,Faella et al.,2016,Italy
322,,250,150,1140,0,830,80,0,0,0,56,35.82,Faella et al.,2016,Italy
323,,250,150,573,500,830,80,0,0,0,56,33.24,Faella et al.,2016,Italy
324,,250,150,0,1005,830,80,0,0,0,56,26.52,Faella et al.,2016,Italy
325,,250,150,1140,0,830,220,0,0,0,56,58.12,Faella et al.,2016,Italy
326,,250,150,573,500,830,220,0,0,0,56,43.59,Faella et al.,2016,Italy
327,,250,150,0,1005,830,220,0,0,0,56,38.51,Faella et al.,2016,Italy
328,,200,150,1140,0,830,255,0,0,0,56,44.3,Faella et al.,2016,Italy
329,,200,150,573,500,830,255,0,0,0,56,36.3,Faella et al.,2016,Italy
330,,200,150,0,1005,830,255,0,0,0,56,33.3,Faella et al.,2016,Italy
331,,280,150,1140,0,830,0,0,0,0,90,35.72,Faella et al.,2016,Italy
332,,250,150,1140,0,830,80,0,0,0,90,40.35,Faella et al.,2016,Italy
333,,250,150,573,500,830,80,0,0,0,90,33.3,Faella et al.,2016,Italy
334,,250,150,0,1005,830,80,0,0,0,90,30.49,Faella et al.,2016,Italy
335,,250,150,1140,0,830,220,0,0,0,90,54.89,Faella et al.,2016,Italy
336,,250,150,573,500,830,220,0,0,0,90,56.59,Faella et al.,2016,Italy
337,,250,150,0,1005,830,220,0,0,0,90,36.65,Faella et al.,2016,Italy
338,,200,150,1140,0,830,255,0,0,0,90,57.29,Faella et al.,2016,Italy
339,,200,150,573,500,830,255,0,0,0,90,38.54,Faella et al.,2016,Italy
340,,200,150,0,1005,830,255,0,0,0,90,36.65,Faella et al.,2016,Italy
341,,430,277,602,0,846,185,0,0,5.16,7,21.7,Kapoor et al.,2016,India
342,,430,277,301,280,846,185,0,0,6.88,7,20.75,Kapoor et al.,2016,India
343,,430,277,0,560,846,185,0,0,8.6,7,18.69,Kapoor et al.,2016,India
344,,430,277,602,0,846,0,57,0,5.16,7,22.91,Kapoor et al.,2016,India
345,,430,277,301,280,846,0,57,0,6.88,7,21.12,Kapoor et al.,2016,India
346,,430,277,0,560,846,0,57,0,8.6,7,19.82,Kapoor et al.,2016,India
347,,430,277,602,0,846,185,0,0,5.16,28,32.31,Kapoor et al.,2016,India
348,,430,277,301,280,846,185,0,0,6.88,28,30.89,Kapoor et al.,2016,India
349,,430,277,0,560,846,185,0,0,8.6,28,28.03,Kapoor et al.,2016,India
350,,430,277,602,0,846,0,57,0,5.16,28,34.28,Kapoor et al.,2016,India
351,,430,277,301,280,846,0,57,0,6.88,28,32.65,Kapoor et al.,2016,India
352,,430,277,0,560,846,0,57,0,8.6,28,29.89,Kapoor et al.,2016,India
353,,430,277,602,0,846,185,0,0,5.16,56,33.74,Kapoor et al.,2016,India
354,,430,277,301,280,846,185,0,0,6.88,56,32.47,Kapoor et al.,2016,India
355,,430,277,0,560,846,185,0,0,8.6,56,29.31,Kapoor et al.,2016,India
356,,430,277,602,0,846,0,57,0,5.16,56,36.23,Kapoor et al.,2016,India
357,,430,277,301,280,846,0,57,0,6.88,56,34.12,Kapoor et al.,2016,India
358,,430,277,0,560,846,0,57,0,8.6,56,31.84,Kapoor et al.,2016,India
359,,500,155,0,891,805,0,0,0,10,28,62.85,Kubissa et al.,2016,Poland
360,,500,186,0,781,705,100,0,0,11,28,68.77,Kubissa et al.,2016,Poland
361,,500,171,0,839,758,0,50,0,11,28,72.86,Kubissa et al.,2016,Poland
362,,400,185,0,721,652,200,60,0,11,28,57.7,Kubissa et al.,2016,Poland
363,,300,180,0,704,635,300,60,0,10,28,52.63,Kubissa et al.,2016,Poland
364,,300,150,1348,0,648,0,0,0,2,28,40.11,Kubissa et al.,2016,Poland
365,,400,200,1468,0,301,0,0,0,4,7,29.36,Kubissa et al.,2015,Poland
366,,300,200,1367,0,280,200,0,0,4,7,26.45,Kubissa et al.,2015,Poland
367,,300,200,1327,0,272,200,40,0,4,7,27.91,Kubissa et al.,2015,Poland
368,,400,200,0,1073,584,0,0,0,4,7,31.09,Kubissa et al.,2015,Poland
369,,300,200,0,999,543,200,0,0,4,7,27.18,Kubissa et al.,2015,Poland
370,,300,200,0,970,527,200,40,0,4,7,28.73,Kubissa et al.,2015,Poland
371,,400,200,1468,0,301,0,0,0,4,28,41.91,Kubissa et al.,2015,Poland
372,,300,200,1367,0,280,200,0,0,4,28,36.73,Kubissa et al.,2015,Poland
373,,300,200,1327,0,272,200,40,0,4,28,43.36,Kubissa et al.,2015,Poland
374,,400,200,0,1073,584,0,0,0,4,28,40.36,Kubissa et al.,2015,Poland
375,,300,200,0,999,543,200,0,0,4,28,35.55,Kubissa et al.,2015,Poland
376,,300,200,0,970,527,200,40,0,4,28,39.73,Kubissa et al.,2015,Poland
377,,400,200,1468,0,301,0,0,0,4,90,56.33,Kubissa et al.,2015,Poland
378,,300,200,1367,0,280,200,0,0,4,90,51.22,Kubissa et al.,2015,Poland
379,,300,200,1327,0,272,200,40,0,4,90,55.92,Kubissa et al.,2015,Poland
380,,400,200,0,1073,584,0,0,0,4,90,45,Kubissa et al.,2015,Poland
381,,300,200,0,999,543,200,0,0,4,90,43.36,Kubissa et al.,2015,Poland
382,,300,200,0,970,527,200,40,0,4,90,52.04,Kubissa et al.,2015,Poland
383,NAC,360,180,1038,0,703,0,0,0,1.25,28,38.14,Wardeh et al.,2015,France
384,RAC30,360,180,656,250,780,0,0,0,1.25,28,34.02,Wardeh et al.,2015,France
385,RAC65,427,180,219,363,957,0,0,0,1.25,28,40.72,Wardeh et al.,2015,France
386,RAC100,448,180,0,544,930,0,0,0,1.25,28,40.21,Wardeh et al.,2015,France
387,NAC,360,180,1038,0,703,0,0,0,1.25,1,14.43,Wardeh et al.,2015,France
388,RAC30,360,180,656,250,780,0,0,0,1.25,1,13.92,Wardeh et al.,2015,France
389,RAC65,427,180,219,363,957,0,0,0,1.25,1,15.77,Wardeh et al.,2015,France
390,RAC100,448,180,0,544,930,0,0,0,1.25,1,14.54,Wardeh et al.,2015,France
391,NAC,360,180,1038,0,703,0,0,0,1.25,7,30.93,Wardeh et al.,2015,France
392,RAC30,360,180,656,250,780,0,0,0,1.25,7,28.87,Wardeh et al.,2015,France
393,RAC65,427,180,219,363,957,0,0,0,1.25,7,29.9,Wardeh et al.,2015,France
394,RAC100,448,180,0,544,930,0,0,0,1.25,7,31.75,Wardeh et al.,2015,France
395,NAC,360,180,1038,0,703,0,0,0,1.25,14,34.12,Wardeh et al.,2015,France
396,RAC30,360,180,656,250,780,0,0,0,1.25,14,31.55,Wardeh et al.,2015,France
397,RAC65,427,180,219,363,957,0,0,0,1.25,14,35.05,Wardeh et al.,2015,France
398,RAC100,448,180,0,544,930,0,0,0,1.25,14,35.88,Wardeh et al.,2015,France
399,NA,350,175,1170,0,874,0,0,0,1.5,28,38.55,Cakir,2014,Turkey
400,RA25,350,175,877.5,292.5,874,0,0,0,1.5,28,34.45,Cakir,2014,Turkey
401,RA50,350,175,585.5,585,874,0,0,0,1.62,28,31.55,Cakir,2014,Turkey
402,RA75,350,175,292.5,877.5,874,0,0,0,1.62,28,30,Cakir,2014,Turkey
403,RA100,350,175,0,1170,874,0,0,0,1.73,28,29.18,Cakir,2014,Turkey
404,NA-SF5,332.5,175,1170,0,874,0,17.5,0,1.5,28,39,Cakir,2014,Turkey
405,RA25-SF5,332.5,175,877.5,292.5,874,0,17.5,0,1.62,28,34.55,Cakir,2014,Turkey
406,RA50-SF5,332.5,175,585.5,585,874,0,17.5,0,1.62,28,32.27,Cakir,2014,Turkey
407,RA75-SF5,332.5,175,292.5,877.5,874,0,17.5,0,1.73,28,32.18,Cakir,2014,Turkey
408,RA100-SF5,332.5,175,0,1170,874,0,17.5,0,1.73,28,29.09,Cakir,2014,Turkey
409,NA-SF10,315,175,1170,0,874,0,35,0,1.5,28,41.91,Cakir,2014,Turkey
410,RA25-SF10,315,175,877.5,292.5,874,0,35,0,1.62,28,35.45,Cakir,2014,Turkey
411,RA50-SF10,315,175,585.5,585,874,0,35,0,1.62,28,31.82,Cakir,2014,Turkey
412,RA75-SF10,315,175,292.5,877.5,874,0,35,0,1.73,28,32.73,Cakir,2014,Turkey
413,RA100-SF10,315,175,0,1170,874,0,35,0,1.73,28,32.36,Cakir,2014,Turkey
414,NA-GGBFS30,245,175,1170,0,874,0,0,105,2.08,28,31.36,Cakir,2014,Turkey
415,RA25-GGBFS30,245,175,877.5,292.5,874,0,0,105,2.08,28,28.64,Cakir,2014,Turkey
416,RA50-GGBFS30,245,175,585.5,585,874,0,0,105,2.08,28,27.36,Cakir,2014,Turkey
417,RA75-GGBFS30,245,175,292.5,877.5,874,0,0,105,2.31,28,26.73,Cakir,2014,Turkey
418,RA100-GGBFS30,245,175,0,1170,874,0,0,105,2.31,28,23,Cakir,2014,Turkey
419,NA-GGBFS60,140,175,1170,0,874,0,0,210,2.31,28,29.18,Cakir,2014,Turkey
420,RA25-GGBFS60,140,175,877.5,292.5,874,0,0,210,2.31,28,25.82,Cakir,2014,Turkey
421,RA50-GGBFS60,140,175,585.5,585,874,0,0,210,2.31,28,24.18,Cakir,2014,Turkey
422,RA75-GGBFS60,140,175,292.5,877.5,874,0,0,210,2.54,28,23.36,Cakir,2014,Turkey
423,RA100-GGBFS60,140,175,0,1170,874,0,0,210,2.54,28,19.91,Cakir,2014,Turkey
424,He0.65e0%,275,179,978,0,843,0,0,0,0,28,47.8,Thomas et al.,2014,Spain
425,He0.65e20%,275,179,735,184,878,0,0,0,0,28,49.3,Thomas et al.,2014,Spain
426,He0.65e50%,275,179,455,455,849,0,0,0,0,28,47.5,Thomas et al.,2014,Spain
427,He0.65e100%,275,179,0,830,868,0,0,0,0,28,53.7,Thomas et al.,2014,Spain
428,He0.50e0%,380,190,1004,0,714,0,0,0,0,28,62,Thomas et al.,2014,Spain
429,He0.50e20%,380,190,757,189,744,0,0,0,0,28,64.8,Thomas et al.,2014,Spain
430,He0.50e50%,380,190,471,471,710,0,0,0,0,28,63.5,Thomas et al.,2014,Spain
431,He0.50e100%,380,190,0,874,715,0,0,0,0,28,65.1,Thomas et al.,2014,Spain
432,He0.65ASe0%,275,179,1003,0,948,0,0,0,0,28,62,Thomas et al.,2014,Spain
433,He0.65ASe20%,275,179,740,185,961,0,0,0,0,28,64.8,Thomas et al.,2014,Spain
434,He0.65ASe50%,275,179,408,408,978,0,0,0,0,28,63.5,Thomas et al.,2014,Spain
435,He0.65ASe100%,275,179,0,640,1010,0,0,0,0,28,65.1,Thomas et al.,2014,Spain
436,He0.50ASe0%,380,190,1032,0,806,0,0,0,0,28,57.3,Thomas et al.,2014,Spain
437,He0.50ASe20%,380,190,767,192,813,0,0,0,0,28,54.9,Thomas et al.,2014,Spain
438,He0.50ASe50%,380,190,426,427,822,0,0,0,0,28,51.5,Thomas et al.,2014,Spain
439,He0.50ASe100%,380,190,0,683,836,0,0,0,0,28,50.3,Thomas et al.,2014,Spain
440,He0.55ARSe0%,325,179,1009,0,875,0,0,0,0,28,60.1,Thomas et al.,2014,Spain
441,He0.55ARSe20%,325,179,839,210,799,0,0,0,0,28,56.5,Thomas et al.,2014,Spain
442,He0.55ARSe50%,325,179,490,490,831,0,0,0,0,28,48.9,Thomas et al.,2014,Spain
443,He0.55ARSe100%,325,179,0,923,825,0,0,0,0,28,43.1,Thomas et al.,2014,Spain
444,He0.45ARSe0%,385,173,1039,0,814,0,0,0,0,28,72.9,Thomas et al.,2014,Spain
445,He0.45ARSe20%,385,173,892,223,698,0,0,0,0,28,67.4,Thomas et al.,2014,Spain
446,He0.45ARSe50%,385,173,515,515,742,0,0,0,0,28,61.2,Thomas et al.,2014,Spain
447,He0.45ARSe100%,385,173,0,963,746,0,0,0,0,28,53.7,Thomas et al.,2014,Spain
448,,315,194,745,0,900,135,0,0,4.9,28,33.82,Tuyan et al.,2014,Turkey
449,,315,216,720,0,870,135,0,0,3.3,28,38.36,Tuyan et al.,2014,Turkey
450,,315,239,694,0,839,135,0,0,2.2,28,53.37,Tuyan et al.,2014,Turkey
451,,315,194,596,149,900,135,0,0,5.5,28,34.27,Tuyan et al.,2014,Turkey
452,,315,216,576,144,870,135,0,0,3.4,28,40,Tuyan et al.,2014,Turkey
453,,315,239,555,139,839,135,0,0,2.4,28,55.82,Tuyan et al.,2014,Turkey
454,,315,194,447,298,900,135,0,0,5.7,28,34.73,Tuyan et al.,2014,Turkey
455,,315,216,432,288,870,135,0,0,3.5,28,40.27,Tuyan et al.,2014,Turkey
456,,315,239,416,278,839,135,0,0,2.7,28,58.37,Tuyan et al.,2014,Turkey
457,,315,194,298,447,900,135,0,0,6.2,28,32.55,Tuyan et al.,2014,Turkey
458,,315,216,288,432,870,135,0,0,3.7,28,37.18,Tuyan et al.,2014,Turkey
459,,315,239,278,416,839,135,0,0,3,28,52.14,Tuyan et al.,2014,Turkey
460,CC,380,110.2,1086.6,0,711.8,0,0,0,0,28,105,Andreu and Miren ,2014,Spain
461,RC-20-100,380,110.2,869.2,202,711.8,0,0,0,0,28,110.23,Andreu and Miren ,2014,Spain
462,RC-50-100,380,110.2,543.2,505.1,711.8,0,0,0,0,28,106.94,Andreu and Miren ,2014,Spain
463,RC-100-100,380,110.2,0,1010.2,711.8,0,0,0,0,28,110.72,Andreu and Miren ,2014,Spain
464,RC-20-60,380,110.2,869.2,195,711.8,0,0,0,0,28,104.57,Andreu and Miren ,2014,Spain
465,RC-50-60,380,110.2,543.2,487.5,711.8,0,0,0,0,28,105.2,Andreu and Miren ,2014,Spain
466,RC-100-60,380,110.2,0,975.1,711.8,0,0,0,0,28,102.84,Andreu and Miren ,2014,Spain
467,RC-20-40,380,110.2,869.2,187.8,711.8,0,0,0,0,28,106.41,Andreu and Miren ,2014,Spain
468,RC-50-40,380,110.2,543.3,469.4,711.8,0,0,0,0,28,98.82,Andreu and Miren ,2014,Spain
469,RC-100-40,380,110.2,0,938.8,711.8,0,0,0,0,28,93.09,Andreu and Miren ,2014,Spain
470,CC,380,110.2,1086.6,0,711.8,0,0,0,0,1,58.53,Andreu and Miren ,2014,Spain
471,RC-20-100,380,110.2,869.2,202,711.8,0,0,0,0,1,75.3,Andreu and Miren ,2014,Spain
472,RC-50-100,380,110.2,543.2,505.1,711.8,0,0,0,0,1,80.86,Andreu and Miren ,2014,Spain
473,RC-100-100,380,110.2,0,1010.2,711.8,0,0,0,0,1,80.34,Andreu and Miren ,2014,Spain
474,RC-20-60,380,110.2,869.2,195,711.8,0,0,0,0,1,75.05,Andreu and Miren ,2014,Spain
475,RC-50-60,380,110.2,543.2,487.5,711.8,0,0,0,0,1,73.86,Andreu and Miren ,2014,Spain
476,RC-100-60,380,110.2,0,975.1,711.8,0,0,0,0,1,81.04,Andreu and Miren ,2014,Spain
477,RC-20-40,380,110.2,869.2,187.8,711.8,0,0,0,0,1,68.43,Andreu and Miren ,2014,Spain
478,RC-50-40,380,110.2,543.3,469.4,711.8,0,0,0,0,1,61.93,Andreu and Miren ,2014,Spain
479,RC-100-40,380,110.2,0,938.8,711.8,0,0,0,0,1,57.78,Andreu and Miren ,2014,Spain
480,CC,380,110.2,1086.6,0,711.8,0,0,0,0,7,93.05,Andreu and Miren ,2014,Spain
481,RC-20-100,380,110.2,869.2,202,711.8,0,0,0,0,7,90.32,Andreu and Miren ,2014,Spain
482,RC-50-100,380,110.2,543.2,505.1,711.8,0,0,0,0,7,96.69,Andreu and Miren ,2014,Spain
483,RC-100-100,380,110.2,0,1010.2,711.8,0,0,0,0,7,95.34,Andreu and Miren ,2014,Spain
484,RC-20-60,380,110.2,869.2,195,711.8,0,0,0,0,7,104.18,Andreu and Miren ,2014,Spain
485,RC-50-60,380,110.2,543.2,487.5,711.8,0,0,0,0,7,100.79,Andreu and Miren ,2014,Spain
486,RC-100-60,380,110.2,0,975.1,711.8,0,0,0,0,7,102.14,Andreu and Miren ,2014,Spain
487,RC-20-40,380,110.2,869.2,187.8,711.8,0,0,0,0,7,93.6,Andreu and Miren ,2014,Spain
488,RC-50-40,380,110.2,543.3,469.4,711.8,0,0,0,0,7,86.11,Andreu and Miren ,2014,Spain
489,RC-100-40,380,110.2,0,938.8,711.8,0,0,0,0,7,81.51,Andreu and Miren ,2014,Spain
490,NAC,350,175,1353,0,538,0,0,0,0.1,28,36.91,Dilbas et al. ,2014,Turkey
491,RA1C,350,175,576,644,538,0,0,0,0.29,28,34.02,Dilbas et al. ,2014,Turkey
492,RA2C,350,175,777,463,538,0,0,0,0.29,28,35.15,Dilbas et al. ,2014,Turkey
493,RA12C,350,175,0,1111,538,0,0,0,0.29,28,30,Dilbas et al. ,2014,Turkey
494,NACSF5,332.5,175,1353,0,538,0,17.5,0,0.29,28,41.13,Dilbas et al. ,2014,Turkey
495,RA1CSF5,332.5,175,576,644,538,0,17.5,0,0.39,28,35.88,Dilbas et al. ,2014,Turkey
496,RA2CSF5,332.5,175,777,463,538,0,17.5,0,0.39,28,36.29,Dilbas et al. ,2014,Turkey
497,RA12CSF5,332.5,175,0,1111,538,0,17.5,0,0.39,28,34.23,Dilbas et al. ,2014,Turkey
498,NACSF10,315,175,1353,0,538,0,35,0,0.5,28,46.91,Dilbas et al. ,2014,Turkey
499,RA1CSF10,315,175,576,644,538,0,35,0,0.46,28,38.35,Dilbas et al. ,2014,Turkey
500,RA2CSF10,315,175,777,463,538,0,35,0,0.39,28,39.69,Dilbas et al. ,2014,Turkey
501,RA12CSF10,315,175,0,1111,538,0,35,0,0.39,28,29.79,Dilbas et al. ,2014,Turkey
502,NC30,300,205,1128,0,697,0,0,0,0,28,29.24,Duan and Poon ,2014,Hong Kong
503,C30RA1,300,205,0,1075,697,0,0,0,0,28,29.66,Duan and Poon ,2014,Hong Kong
504,C30RA2,300,205,0,1027,697,0,0,0,0,28,24.75,Duan and Poon ,2014,Hong Kong
505,C30RA3,300,205,0,1027,697,0,0,0,0,28,23.47,Duan and Poon ,2014,Hong Kong
506,NC45,350,180,1143,0,706,0,0,0,0,28,40.93,Duan and Poon ,2014,Hong Kong
507,C45RA1,350,180,0,1089,706,0,0,0,0,28,40.34,Duan and Poon ,2014,Hong Kong
508,C45RA2,350,180,0,1041,706,0,0,0,0,28,35.59,Duan and Poon ,2014,Hong Kong
509,C45RA3,350,180,0,1041,706,0,0,0,0,28,36.36,Duan and Poon ,2014,Hong Kong
510,NC60,425,185,1077,0,696,0,0,0,0,28,59.23,Duan and Poon ,2014,Hong Kong
511,C60RA1,425,185,0,1028,696,0,0,0,0,28,57.69,Duan and Poon ,2014,Hong Kong
512,C60RA2,425,185,0,982,696,0,0,0,0,28,51.63,Duan and Poon ,2014,Hong Kong
513,C60RA3,425,185,0,982,696,0,0,0,0,28,51.15,Duan and Poon ,2014,Hong Kong
514,NC80,485,165,1089,0,685,0,0,0,0,28,77.69,Duan and Poon ,2014,Hong Kong
515,C80RA1,485,165,0,1039,685,0,0,0,0,28,75.19,Duan and Poon ,2014,Hong Kong
516,C80RA2,485,165,0,979,685,0,0,0,0,28,68.46,Duan and Poon ,2014,Hong Kong
517,C80RA3,485,165,0,982,685,0,0,0,0,28,62.88,Duan and Poon ,2014,Hong Kong
518,NC30,300,205,1128,0,697,0,0,0,0,90,33.39,Duan and Poon ,2014,Hong Kong
519,C30RA1,300,205,0,1075,697,0,0,0,0,90,33.73,Duan and Poon ,2014,Hong Kong
520,C30RA2,300,205,0,1027,697,0,0,0,0,90,28.81,Duan and Poon ,2014,Hong Kong
521,C30RA3,300,205,0,1027,697,0,0,0,0,90,24.07,Duan and Poon ,2014,Hong Kong
522,NC45,350,180,1143,0,706,0,0,0,0,90,50.96,Duan and Poon ,2014,Hong Kong
523,C45RA1,350,180,0,1089,706,0,0,0,0,90,49.33,Duan and Poon ,2014,Hong Kong
524,C45RA2,350,180,0,1041,706,0,0,0,0,90,39.83,Duan and Poon ,2014,Hong Kong
525,C45RA3,350,180,0,1041,706,0,0,0,0,90,39.24,Duan and Poon ,2014,Hong Kong
526,NC60,425,185,1077,0,696,0,0,0,0,90,66.92,Duan and Poon ,2014,Hong Kong
527,C60RA1,425,185,0,1028,696,0,0,0,0,90,65.1,Duan and Poon ,2014,Hong Kong
528,C60RA2,425,185,0,982,696,0,0,0,0,90,53.37,Duan and Poon ,2014,Hong Kong
529,C60RA3,425,185,0,982,696,0,0,0,0,90,56.35,Duan and Poon ,2014,Hong Kong
530,NC80,485,165,1089,0,685,0,0,0,0,90,84.9,Duan and Poon ,2014,Hong Kong
531,C80RA1,485,165,0,1039,685,0,0,0,0,90,80.87,Duan and Poon ,2014,Hong Kong
532,C80RA2,485,165,0,979,685,0,0,0,0,90,71.44,Duan and Poon ,2014,Hong Kong
533,C80RA3,485,165,0,982,685,0,0,0,0,90,70.48,Duan and Poon ,2014,Hong Kong
534,NAC,358,178.3,1109.4,0,730.4,0,0,0,0.3,28,36.5,Folino and Xargay ,2014,Argentina
535,RCA30,358,178.3,783.6,299.3,730.4,0,0,0,0.3,28,33.6,Folino and Xargay ,2014,Argentina
536,RCA60,358,178.3,458.3,598.4,730.4,0,0,0,0.3,28,30.4,Folino and Xargay ,2014,Argentina
537,RCA100,358,178.3,0,1020,730.4,0,0,0,0.3,28,29.1,Folino and Xargay ,2014,Argentina
538,RA1-0,300,195,918.1,0,828.4,0,0,0,3,7,33.2,Gayarre et al. ,2014,Spain
539,RA1-20,300,195,756.4,189.1,787.1,0,0,0,3,7,35.88,Gayarre et al. ,2014,Spain
540,RA1-50,300,195,485.5,485.5,737.4,0,0,0,3.6,7,37.63,Gayarre et al. ,2014,Spain
541,RA1-100,300,195,0,951.4,712.6,0,0,0,4.5,7,40,Gayarre et al. ,2014,Spain
542,RA2-0,300,195,918.1,0,828.4,0,0,0,3,7,33.2,Gayarre et al. ,2014,Spain
543,RA2-20,300,195,733,183.2,814.4,0,0,0,3,7,33.61,Gayarre et al. ,2014,Spain
544,RA2-50,300,195,450.7,450.7,804.2,0,0,0,3.6,7,36.6,Gayarre et al. ,2014,Spain
545,RA2-100,300,195,0,855.2,807.9,0,0,0,4.5,7,34.95,Gayarre et al. ,2014,Spain
546,RA1-0,300,195,918.1,0,828.4,0,0,0,3,28,41.75,Gayarre et al. ,2014,Spain
547,RA1-20,300,195,756.4,189.1,787.1,0,0,0,3,28,40.72,Gayarre et al. ,2014,Spain
548,RA1-50,300,195,485.5,485.5,737.4,0,0,0,3.6,28,42.06,Gayarre et al. ,2014,Spain
549,RA1-100,300,195,0,951.4,712.6,0,0,0,4.5,28,45.05,Gayarre et al. ,2014,Spain
550,RA2-0,300,195,918.1,0,828.4,0,0,0,3,28,41.75,Gayarre et al. ,2014,Spain
551,RA2-20,300,195,733,183.2,814.4,0,0,0,3,28,42.27,Gayarre et al. ,2014,Spain
552,RA2-50,300,195,450.7,450.7,804.2,0,0,0,3.6,28,40,Gayarre et al. ,2014,Spain
553,RA2-100,300,195,0,855.2,807.9,0,0,0,4.5,28,41.13,Gayarre et al. ,2014,Spain
554,RC20PC,210,180.6,958,0,938,0,0,0,0,28,20.25,Pedro et al,2014,Portugal
555,RC45PC,280,182,956,0,870,0,0,0,0,28,32.8,Pedro et al,2014,Portugal
556,RC65PC,350,143.5,1002,0,863,0,0,0,3.5,28,68.37,Pedro et al,2014,Portugal
557,C100L20PC,210,138.85,0,966,929,0,0,0,0,28,16.69,Pedro et al,2014,Portugal
558,C100L45PC,280,131.14,0,940,866,0,0,0,0,28,30.25,Pedro et al,2014,Portugal
559,C100L65PC,350,120.09,0,974,858,0,0,0,3.5,28,64.23,Pedro et al,2014,Portugal
560,C100P20PC,210,139.35,0,970,932,0,0,0,0,28,18.47,Pedro et al,2014,Portugal
561,C100P45PC,280,131.12,0,970,870,0,0,0,0,28,30.59,Pedro et al,2014,Portugal
562,C100P65PC,350,114.28,0,1029,858,0,0,0,3.5,28,65.87,Pedro et al,2014,Portugal
563,RC20PSC,210,170.1,1019,0,946,0,0,0,0,28,23.31,Pedro et al,2014,Portugal
564,RC45PSC,280,176.4,1011,0,877,0,0,0,0,28,35.93,Pedro et al,2014,Portugal
565,RC65PSC,350,140,1057,0,868,0,0,0,3.5,28,69.52,Pedro et al,2014,Portugal
566,C100L20PSC,210,135.47,0,953,938,0,0,0,0,28,17.8,Pedro et al,2014,Portugal
567,C100L45PSC,280,134.25,0,988,877,0,0,0,0,28,34.83,Pedro et al,2014,Portugal
568,C100L65PSC,350,115.15,0,982,868,0,0,0,3.5,28,67.5,Pedro et al,2014,Portugal
569,C100P20PSC,210,138.39,0,977,943,0,0,0,0,28,20,Pedro et al,2014,Portugal
570,C100P45PSC,280,134.6,0,962,873,0,0,0,0,28,33.64,Pedro et al,2014,Portugal
571,C100P65PSC,350,117.88,0,1016,858,0,0,0,3.5,28,63.94,Pedro et al,2014,Portugal
572,RF,300,160,910.1,0,952.6,0,0,0,4.02,28,33,Pepe et al.,2014,Italy
573,RAC,300,160,0,750.6,950.4,0,0,0,4.02,28,27.5,Pepe et al.,2014,Italy
574,RAC CL,300,160,0,818.2,951.3,0,0,0,4.02,28,29.9,Pepe et al.,2014,Italy
575,RF,300,160,910.1,0,952.6,0,0,0,4.02,2,23.36,Pepe et al.,2014,Italy
576,RAC,300,160,0,750.6,950.4,0,0,0,4.02,2,16.72,Pepe et al.,2014,Italy
